Vendor # @	Vendor Creation Date	Vendor name	Vendor country key	Vendor Type Description	Vendor Material type	company_code	Region Description	Posting Block for Company Code	Business Unit
1185403	1/29/24	d TLtdTe	IL	PO	Software	1116	North America		
1185403	1/29/24	d TLtdTe	IL	PO	Software	2150	EMEA		
1185403	1/26/24	mAd DAdv	NO	PO	Professional Services	2900	EMEA		
1185402	1/26/24	ge rum E	US	PO	Events	1200	North America		
1185402	1/26/24	iaunc.us	US	PO	Marketing & Creative	1116	North America		
1185402	1/26/24	iaunc.us	US	PO	Marketing & Creative	2150	EMEA		
1185401	1/25/24	ogiIncic	US	PO	Software	1100	North America		
1185401	1/25/24	ogiIncic	US	PO	Software	1116	North America		
1185401	1/25/24	ogiIncic	US	PO	Software	1200	North America		
1185401	1/25/24	ogiIncic	US	PO	Software	1900	North America		
1185400	1/25/24	eru LPum	US	PO	Events	1100	North America		
1185400	1/25/24	DHU NVUI	BE	PO	Facilities	2602	EMEA		
1185399	1/25/24	voningn 	CA	PO	Professional Services	2602	EMEA		
1185399	1/25/24	LSCANKCE	BE	PO	Professional Services	2602	EMEA		
1185398	1/25/24	epolisot	BE	PO	Facilities	2602	EMEA		
1185398	1/25/24	dal Col 	BE	PO	Facilities	2602	EMEA		
1185397	1/25/24	Geliumlg	BE	PO	Professional Services	2602	EMEA		
1185396	1/25/24	ltterste	BE	PO	Professional Services	2602	EMEA		
1185396	1/25/24	BT LEE L	US	PO	Professional Services	2300	EMEA		
1185395	1/24/24	nziagiio	IT	NPO	Professional Services	2660	EMEA		U0046
1185395	1/24/24	ULEONSE 	ZA	PO	Facilities	2005	EMEA		
1185394	1/24/24	arainea 	PH	PO	Contingent Workforce	3104	APAC		
1185393	1/24/24	ARAITEA 	IN	PO	Contingent Workforce	6000	India		
1185393	1/24/24	aranc.a 	US	PO	Contingent Workforce	1210	North America		
1185393	1/24/24	aranc.a 	US	PO	Contingent Workforce	3104	APAC		
1185392	1/23/24	UNGTEKG 	DE	PO	Professional Services	1334	North America		
1185391	1/23/24	XONNC.N 	US	PO	Hardware	1334	North America		
1185390	1/23/24	ousLLCs 	US	PO	Contingent Workforce	1210	North America		
1185390	1/23/24	lo LLC T	US	PO	Contingent Workforce	1210	North America		
1185389	1/23/24	o Dnc.Da	US	PO	Contingent Workforce	1210	North America		
1185389	1/23/24	nogorpgi	US	PO	Contingent Workforce	1210	North America		
1185388	1/23/24	nchLLCh 	US	PO	Contingent Workforce	1210	North America		
1185388	1/23/24	ta ess W	US	PO	Contingent Workforce	1210	North America		
1185387	1/23/24	MC LLC C	US	PO	Contingent Workforce	1210	North America		
1185386	1/23/24	LA R.L S	DO	PO	Contingent Workforce	1334	North America		
1185386	1/23/24	NRIPRII	GB	PO	Professional Services	1334	North America		
1185385	1/23/24	DIGSRLGN	RO	PO	Marketing & Creative	1334	North America		
1185385	1/23/24	E ATEDAU	GB	PO	Professional Services	1334	North America		
1185384	1/23/24	an y L W	AU	PO	IT Services	1114	North America		
1185384	1/23/24	an y L W	AU	PO	IT Services	3014	APAC		
1185384	1/23/24	an y L W	AU	PO	IT Services	3174	APAC		
1185383	1/23/24	wff PCfi	US	PO	Professional Services	1334	North America		U7393
1185383	1/22/24	 ge NVe 	BE	PO	Vehicles	2602	EMEA		
1185382	1/22/24	ici.H.io	CO	PO	Real Estate	4110	CALA		
1185382	1/22/24	RFO BVOR	NL	PO	Vehicles	2602	EMEA		
1185381	1/22/24	rfo BVor	BE	PO	Vehicles	2602	EMEA		
1185380	1/22/24	TNETIEE 	BE	PO	Professional Services	2602	EMEA		
1185380	1/22/24	uecchece	BE	PO	Professional Services	2602	EMEA		
1185379	1/22/24	C FSRLFO	BE	PO	IT Services	2602	EMEA		
1185379	1/22/24	sMiSASil	FR	PO	Vehicles	2602	EMEA		
1185378	1/22/24	TRAAREA 	NL	PO	Learning & Development	2602	EMEA		
1185378	1/22/24	rdeceses	BE	PO	Vehicles	2602	EMEA		
1185377	1/22/24	TT SLU C	ES	PO	Contingent Workforce	2602	EMEA		
1185376	1/22/24	SSoonsol	NL	PO	Software	2602	EMEA		
1185376	1/22/24	Iel NVlg	BE	PO	Travel	2602	EMEA		
1185375	1/22/24	WARINGRK	DE	PO	Professional Services	2602	EMEA		
1185375	1/22/24	Win NVna	BE	PO	Vehicles	2602	EMEA		
1185374	1/22/24	GATCESTA	BR	PO	Contingent Workforce	1334	North America		
1185373	1/22/24	SON CVN 	MX	PO	Software	4042	CALA		
1185373	1/22/24	RG LLC L	US	PO	Contingent Workforce	1334	North America		
1185372	1/22/24	TIEIEDED	US	PO	Facilities	1334	North America		
1185372	1/22/24	TIEIEDED	US	PO	Facilities	2300	EMEA		
1185372	1/22/24	 UINTSIP	IN	PO	Facilities	6000	India		
1185372	1/22/24	 UINTSIP	IN	PO	Facilities	6060	India		
1185371	1/22/24	NAGINCGE	US	PO	Professional Services	1334	North America		
1185370	1/19/24	PHOLTDOM	CY	PO	Facilities	2800	EMEA		
1185370	1/19/24	 EIDCOIP	NL	PO	Real Estate	2126	EMEA	X	
1185370	1/19/24	 EIDCOIP	NL	PO	Real Estate	2620	EMEA		
1185369	1/18/24	RX ION C	US	PO	Contingent Workforce	1334	North America		
1185369	1/18/24	  LLLCLE	US	PO	HR	1334	North America		
1185368	1/18/24	TOMCOMM	US	PO	Marketing & Creative	1334	North America		
1185368	1/18/24	OALLTDLL	IL	PO	Professional Services	1334	North America		
1185367	1/18/24	KIDLLCDE	US	PO	Facilities	1334	North America		
1185366	1/18/24	OA VZW V	BE	PO	Contingent Workforce	2602	EMEA		
1185366	1/18/24	ien BVnt	BE	PO	Events	2602	EMEA		
1185365	1/18/24	nenrren 	BE	PO	Hardware	2602	EMEA		
1185365	1/18/24	nae BVel	BE	PO	Professional Services	2602	EMEA		
1185364	1/18/24	TE  NV G	BE	PO	Software	2602	EMEA		
1185363	1/18/24	ity NVy 	BE	PO	Vehicles	2602	EMEA		
1185363	1/18/24	 hokjeoo	BE	PO	Events	2602	EMEA		
1185362	1/18/24	R S NVSE	BE	PO	IT Services	2602	EMEA		
1185362	1/18/24	T TLSTTE	BE	PO	Travel	2602	EMEA		
1185361	1/18/24	na  BV B	BE	PO	Learning & Development	2602	EMEA		
1185360	1/18/24	rhm BVm 	BE	PO	Vehicles	2602	EMEA		
1185360	1/18/24	Delladlg	BE	PO	Professional Services	2602	EMEA		
1185359	1/18/24	C N NVNV	BE	PO	Facilities	2602	EMEA		
1185359	1/18/24	cexVZWx 	BE	PO	Professional Services	2602	EMEA		
1185358	1/18/24	 rxVZWx 	BE	PO	Professional Services	2602	EMEA		
1185358	1/18/24	 e TN) (	BE	PO	Contingent Workforce	2602	EMEA		
1185357	1/18/24	PBE CVEL	BE	PO	Professional Services	2602	EMEA		
1185356	1/18/24	omu nvus	BE	PO	Facilities	2602	EMEA		
1185356	1/18/24	ONCLITCI	BE	PO	Professional Services	2602	EMEA		
1185355	1/18/24	r n nvnv	BE	PO	Software	2602	EMEA		
1185355	1/18/24	o I BVIm	BE	PO	Contingent Workforce	2602	EMEA		
1185354	1/18/24	c B NVBe	BE	PO	Facilities	2602	EMEA		
1185353	1/18/24	LVBVBABA	BE	PO	IT Services	2602	EMEA		
1185353	1/18/24	NZE NVE 	BE	PO	Facilities	2602	EMEA		
1185352	1/18/24	r N NVNV	BE	PO	Professional Services	2602	EMEA		
1185352	1/18/24	DFI NVIN	BE	PO	Marketing & Creative	2602	EMEA		
1185351	1/18/24	cam NVm 	BE	PO	Vehicles	2602	EMEA		
1185350	1/18/24	ro  NV B	BE	PO	Facilities	2602	EMEA		
1185350	1/18/24	P D BVDA	BE	PO	IT Services	2602	EMEA		
1185349	1/18/24	RNV NVV	BE	PO	Facilities	2602	EMEA		
1185349	1/18/24	MEL BVLG	BE	PO	IT Services	2602	EMEA		
1185348	1/18/24	Mteingen	BE	PO	Contingent Workforce	2602	EMEA		
1185348	1/18/24	Cut NVto	BE	PO	Vehicles	2602	EMEA		
1185347	1/18/24	MI VBA B	BE	PO	Contingent Workforce	2602	EMEA		
1185346	1/18/24	al  NV N	BE	PO	Professional Services	2602	EMEA		
1185346	1/18/24	nalgiëlp	BE	PO	IT Services	2602	EMEA		
1185345	1/18/24	NBR NVRA	BE	PO	Marketing & Creative	2602	EMEA		
1185345	1/18/24	uetVBAto	BE	PO	Marketing & Creative	2602	EMEA		
1185344	1/18/24	sny NVy 	BE	PO	IT Services	2602	EMEA		
1185343	1/18/24	 NDANDD	BE	PO	Gifts	2602	EMEA		
1185343	1/18/24	rT  NV (	BE	PO	Real Estate	2602	EMEA		
1185342	1/18/24	2BV BVV	BE	PO	Facilities	2602	EMEA		
1185342	1/18/24	bco BVon	BE	PO	Professional Services	2602	EMEA		
1185341	1/18/24	I   NV P	BE	PO	Facilities	2602	EMEA		
1185340	1/18/24	aatVBAti	BE	PO	Professional Services	2602	EMEA		
1185340	1/18/24	ASA BVAN	BE	PO	Marketing & Creative	2602	EMEA		
1185339	1/18/24	Oed BVdr	BE	PO	Professional Services	2602	EMEA		
1185339	1/18/24	Ier NVre	BE	PO	Vehicles	2602	EMEA		
1185338	1/18/24	l H BVHo	BE	PO	Travel	2602	EMEA		
1185338	1/18/24	I BVBABV	BE	PO	IT Services	2602	EMEA		
1185337	1/18/24	l I NVIn	BE	PO	Professional Services	2602	EMEA		
1185336	1/18/24	une NVes	BE	PO	Software	2602	EMEA		
1185336	1/18/24	V B NVBE	BE	PO	Vehicles	2602	EMEA		
1185335	1/18/24	CR OSS B	BE	PO	Marketing & Creative	2602	EMEA		
1185335	1/18/24	PBNP	BE	PO	Professional Services	2602	EMEA		
1185334	1/18/24	t S.o.Sp	PL	PO	IT Services	5062	ISR		
1185334	1/18/24	t S.o.Sp	PL	PO	IT Services	7006	EMEA	X	
1185333	1/18/24	 SUNCEUR	BE	PO	Professional Services	2602	EMEA		
1185333	1/18/24	cnt NVti	BE	PO	Professional Services	2602	EMEA		
1185332	1/18/24	IM EEN S	IN	PO	Events	6000	India		
1185332	1/18/24	IM EEN S	IN	PO	Events	6012	India		
1185332	1/18/24	RMAINCAR	US	PO	Contingent Workforce	1334	North America		
1185331	1/18/24	XEAINCAL	US	PO	HR	1334	North America		
1185330	1/18/24	CR INC S	US	PO	Contingent Workforce	1334	North America		
1185330	1/18/24	CLCM	US	PO	Software	1334	North America		
1185329	1/18/24	EOMLTDMP	US	PO	HR	1334	North America		
1185329	1/18/24	CFFNC.FI	US	PO	Contingent Workforce	1334	North America		
1185328	1/18/24	BPanc.ay	US	PO	Contingent Workforce	1334	North America		
1185328	1/18/24	MONINCNY	US	PO	Software	1334	North America		
1185327	1/18/24	YASLLCSS	US	PO	Contingent Workforce	1334	North America		
1185326	1/18/24	RG ERS L	US	PO	Professional Services	1334	North America		
1185326	1/18/24	IRAINGAM	US	PO	Contingent Workforce	1334	North America		
1185325	1/18/24	BT OYD B	US	PO	Contingent Workforce	1334	North America		
1185325	1/18/24	E CINCCO	US	PO	HR	1334	North America		
1185324	1/18/24	R3 NC. T	US	PO	Software	1334	North America		
1185323	1/18/24	TLVLLCVE	US	PO	HR	1334	North America		
1185323	1/18/24	TTUM	US	PO	HR	1334	North America		
1185322	1/18/24	CEDLLCDI	US	PO	Marketing & Creative	1334	North America		
1185322	1/18/24	LEYLLCY 	US	PO	HR	1334	North America		
1185321	1/18/24	GMONC.ON	US	PO	Professional Services	1334	North America		
1185320	1/18/24	SPLNTELA	US	PO	Contingent Workforce	1334	North America		
1185320	1/18/24	V 5LLC5 	US	PO	Facilities	1334	North America		
1185319	1/18/24	O BSKYBA	US	PO	Contingent Workforce	1334	North America		
1185319	1/18/24	ACRNC.RM	US	PO	Professional Services	1334	North America		
1185318	1/18/24	NAGINCGE	US	PO	Software	1334	North America		
1185318	1/18/24	OE4INC4,	US	PO	Professional Services	1334	North America		
1185317	1/18/24	L GLLCGI	US	PO	Software	1334	North America		
1185316	1/18/24	NFESKIER	US	PO	Contingent Workforce	1334	North America		
1185316	1/18/24	4ESLLCSE	US	PO	Contingent Workforce	1334	North America		
1185315	1/18/24	TF,INC, 	US	PO	Professional Services	1334	North America		
1185315	1/18/24	NERLLCRG	US	PO	Professional Services	1334	North America		
1185314	1/18/24	FBYIGNY 	US	PO	Marketing & Creative	1334	North America		
1185313	1/18/24	DRONC.OU	US	PO	Software	1334	North America		
1185313	1/18/24	RERLLPR 	US	PO	Professional Services	1334	North America		
1185312	1/18/24	LGHINCHE	US	PO	Professional Services	1334	North America		
1185312	1/18/24	FCENC.E 	US	PO	Contingent Workforce	1334	North America		
1185311	1/18/24	EHEIONE 	US	PO	Professional Services	1334	North America		
1185310	1/18/24	YSTINCT 	US	PO	Professional Services	1334	North America		
1185310	1/18/24	R NONSNA	US	PO	Professional Services	1334	North America		
1185309	1/18/24	PSOINCOL	US	PO	Professional Services	1334	North America		
1185309	1/18/24	EN LEE L	US	PO	Contingent Workforce	1334	North America		
1185308	1/18/24	OL LLC H	US	PO	Professional Services	1334	North America		
1185308	1/18/24	YMIINCIC	US	PO	HR	1334	North America		
1185307	1/18/24	TELLLCLP	US	PO	Professional Services	1334	North America		
1185306	1/18/24	FIPUP,PP	US	PO	Professional Services	1334	North America		
1185306	1/18/24	IOLONSLU	US	PO	Professional Services	1334	North America		
1185305	1/18/24	CLLLLCLC	US	PO	Marketing & Creative	1334	North America		
1185305	1/18/24	TITLLCTE	US	PO	Software	1334	North America		
1185304	1/18/24	OTELLCEA	US	PO	Contingent Workforce	1334	North America		
1185303	1/18/24	I CONSCH	US	PO	Professional Services	1334	North America		
1185303	1/18/24	LIMLC.MB	US	PO	Facilities	1334	North America		
1185302	1/18/24	TUGLLCGG	US	PO	Learning & Development	1334	North America		
1185302	1/18/24	SLLNC.LY	US	PO	Contingent Workforce	1334	North America		
1185301	1/18/24	R CHERCH	US	PO	Contingent Workforce	1334	North America		
1185300	1/18/24	SESNC.SS	US	PO	Professional Services	1334	North America		
1185300	1/18/24	ELOBALOB	US	PO	Professional Services	1334	North America		
1185299	1/18/24	REYERSY 	US	PO	Professional Services	1334	North America		
1185299	1/18/24	OS,LLP, 	US	PO	Professional Services	1334	North America		
1185298	1/18/24	AN ESS B	US	PO	Marketing & Creative	1334	North America		
1185298	1/18/24	EY LLC B	US	PO	Marketing & Creative	1334	North America		
1185297	1/17/24	fmateda 	GB	PO	Events	1200	North America		
1185297	1/17/24	fmateda 	GB	PO	Events	2142	EMEA		
1185297	1/17/24	fmateda 	GB	PO	Events	2150	EMEA		
1185297	1/17/24	fmateda 	GB	PO	Events	2300	EMEA		
1185296	1/16/24	G CLLCCR	AE	PO	Learning & Development	2300	EMEA		
1185296	1/15/24	NEX.A.X 	PA	PO	Events	2300	EMEA		
1185296	1/15/24	NEX.A.X 	PA	PO	Events	2800	EMEA		
1185295	1/15/24	tVrntsri	IN	PO	Learning & Development	6000	India		
1185295	1/15/24	tVrntsri	IN	PO	Learning & Development	6060	India		
1185295	1/15/24	eDananan	IL	PO	Professional Services	2300	EMEA		
1185294	1/15/24	ohe.V.er	NL	PO	Learning & Development	2300	EMEA		
1185293	1/12/24	UVRAV	IN	PO	HR	6000	India		
1185293	1/12/24	UVRAV	IN	PO	HR	6060	India		
1185293	1/11/24	liatedan	GB	PO	Events	2300	EMEA		
1185292	1/11/24	 cInc	US	PO	Professional Services	1116	North America		
1185292	1/11/24	 cInc	US	PO	Professional Services	2150	EMEA		
1185292	1/10/24	l SareSo	US	PO	IT Services	7004	EMEA		
1185291	1/10/24	ae ca) C	ZA	PO	Software	2005	EMEA		
1185291	1/10/24	ae ca) C	ZA	PO	Software	2800	EMEA		
1185291	1/10/24	ae ca) C	ZA	PO	Software	7000	EMEA		
1185291	1/10/24	ae ca) C	ZA	PO	Software	7006	EMEA		
1185290	1/9/24	U S SASE	AR	NPO	Professional Services	4130	CALA		12344
1185290	1/9/24	ETO.A.O 	AR	NPO	Professional Services	4130	CALA		12344
1185289	1/9/24	rniMBHic	CH	PO	Software	1116	North America		
1185289	1/9/24	rniMBHic	CH	PO	Software	2150	EMEA		
1185289	1/9/24	VSEE CEG	MX	PO	Facilities	4042	CALA		
1185288	1/8/24	an iva W	SG	PO	IT Services	2300	EMEA		
1185288	1/8/24	an iva W	SG	PO	IT Services	3166	APAC		
1185288	1/8/24	an iva W	SG	PO	IT Services	3170	APAC		
1185288	1/5/24	vceInced	US	PO	Software	2900	EMEA		
1185287	1/5/24	oe LLC Z	CY	NPO	Professional Services	2800	EMEA		U0046
1185286	1/4/24	INORIAO 	BR	PO	Facilities	4000	CALA		
1185286	1/4/24	eertedr 	GB	PO	Facilities	2182	EMEA		
1185285	1/4/24	rquincue	CA	PO	Software	1100	North America		
1185285	1/4/24	rquincue	CA	PO	Software	1900	North America		
1185285	1/4/24	lgitedit	NZ	PO	Hardware	3016	APAC		
1185285	1/4/24	lgitedit	NZ	PO	Hardware	3170	APAC		
1185284	1/4/24	OCTASATO	FI	NPO	HR	2630	EMEA		U7599
1185283	1/3/24	endbandr	BR	PO	Facilities	4000	CALA		
1185283	1/3/24	SIETD.ER	FI	NPO	Professional Services	2300	EMEA		U7951
1185282	1/3/24	IBOBOXOX	CY	PO	Facilities	2800	EMEA		
1185282	1/3/24	notincto	US	PO	Software	2800	EMEA		
1185281	1/2/24	d MLtdMa	GB	PO	Professional Services	1116	North America		
1185281	1/2/24	d MLtdMa	GB	PO	Professional Services	1960	North America		
1185281	1/2/24	d MLtdMa	GB	PO	Professional Services	2150	EMEA		
1185280	1/2/24	ni LIK B	TR	PO	Software	2118	EMEA		
1185280	1/2/24	Wk ate I	IN	PO	Real Estate	6000	India		
1185279	1/2/24	oNetedet	IN	NPO	Contingent Workforce	6000	India		
1185279	12/28/23	EEN VEN 	TR	PO	Software	2118	EMEA		
1185278	12/28/23	qncnc.ce	US	PO	Software	1100	North America		
1185278	12/28/23	qncnc.ce	US	PO	Software	2800	EMEA		
1185278	12/27/23	nyaoraa 	US	PO	Professional Services	1210	North America		
1185277	12/27/23	wa ade K	US	PO	Professional Services	1210	North America		
1185276	12/27/23	rM Ltd P	SG	PO	Software	2800	EMEA		
1185276	12/27/23	in ard I	TW	PO	Software	2008	APAC		
1185275	12/25/23	DI LTD L	GB	PO	HR	2300	EMEA		
1185275	12/25/23	DI LTD L	GB	PO	HR	2660	EMEA		
1185275	12/22/23	CIA SAA 	AR	PO	Professional Services	4130	CALA		
1185274	12/22/23	e TIncTe	US	PO	Software	1100	North America		
1185274	12/22/23	e TIncTe	US	PO	Software	2800	EMEA		
1185273	12/22/23	afoIncor	CA	NPO	Contingent Workforce	1900	North America		
1185273	12/22/23	afoIncor	CA	NPO	Contingent Workforce	1950	North America		
1185273	12/22/23	far Oyre	FI	PO	Contingent Workforce	2900	EMEA		
1185272	12/21/23	rt nc. A	US	PO	Software	1100	North America		
1185272	12/21/23	rt nc. A	US	PO	Software	2800	EMEA		
1185272	12/20/23	rr LLP S	GB	NPO	Professional Services	2150	EMEA		U8012
1185272	12/20/23	rr LLP S	GB	NPO	Professional Services	2500	EMEA		U8012
1185271	12/20/23	NGYONSY 	IE	PO	Facilities	2142	EMEA		
1185270	12/20/23	pylay	FR	PO	IT Services	1116	North America		
1185270	12/20/23	pylay	FR	PO	IT Services	2150	EMEA		
1185270	12/19/23	va,nc., 	US	PO	Software	1100	North America		
1185270	12/19/23	va,nc., 	US	PO	Software	2800	EMEA		
1185269	12/19/23	e SA.SSS	CO	PO	Hardware	4110	CALA		
1185269	12/19/23	e SA.SSS	CO	PO	Hardware	4112	CALA		
1185269	12/19/23	 VIUSTID	ZA	NPO	Gifts	7004	EMEA		10910
1185268	12/19/23	aexsimx 	TR	PO	Software	2118	EMEA		
1185267	12/19/23	aicIncc 	CA	PO	Software	1100	North America		
1185267	12/19/23	aicIncc 	CA	PO	Software	2800	EMEA		
1185266	12/18/23	intorpti	US	PO	Software	1100	North America		
1185266	12/18/23	intorpti	US	PO	Software	2800	EMEA		
1185266	12/18/23	EHILTDIR	IL	PO	Events	5000	ISR		
1185265	12/18/23	Enfonsfo	IN	PO	Facilities	6000	India		
1185265	12/18/23	Enfonsfo	IN	PO	Facilities	6012	India		
1185265	12/18/23	Enfonsfo	IN	PO	Facilities	6060	India		
1185265	12/15/23	QL LLC M	US	PO	Real Estate	1100	North America		
1185264	12/15/23	ldiLLCiu	US	PO	Real Estate	1114	North America		
1185263	12/15/23	tysnc.st	US	PO	Marketing & Creative	1114	North America		
1185263	12/15/23	ZS NTS C	AE	PO	Professional Services	3020	APAC		
1185262	12/15/23	AOT CVTE	MX	PO	Facilities	4042	CALA		
1185262	12/14/23	aclLtdla	SG	PO	Software	3120	APAC		
1185261	12/13/23	LSELLCEN	US	PO	Professional Services	1330	North America		
1185260	12/12/23	tulierlo	MX	PO	Facilities	4042	CALA		
1185260	12/12/23	tonmbHn 	DE	PO	Professional Services	2300	EMEA		
1185260	12/12/23	tonmbHn 	DE	PO	Professional Services	2900	EMEA		
1185259	12/12/23	rtiingiv	US	PO	Marketing & Creative	1200	North America		
1185259	12/12/23	LADENTDO	US	PO	Events	2300	EMEA		
1185259	12/12/23	LADENTDO	US	PO	Events	2800	EMEA		
1185258	12/11/23	ongnc.g 	US	PO	Facilities	1100	North America		
1185258	12/11/23	Cngnc.gi	US	PO	Facilities	1116	North America		
1185257	12/11/23	renionnt	US	PO	Software	1100	North America		
1185257	12/11/23	renionnt	US	PO	Software	2800	EMEA		
1185256	12/11/23	gtuLtdud	GB	PO	HR	3106	APAC		
1185256	12/11/23	e PLtdPl	CY	PO	HR	2800	EMEA		
1185255	12/11/23	g RgevRe	IL	PO	Contingent Workforce	5000	ISR		
1185255	12/8/23	 uiLLCit	US	PO	Professional Services	1100	North America		
1185255	12/8/23	 uiLLCit	US	PO	Professional Services	1102	North America		
1185255	12/8/23	 uiLLCit	US	PO	Professional Services	1108	North America		
1185255	12/8/23	 uiLLCit	US	PO	Professional Services	1112	North America		
1185255	12/8/23	 uiLLCit	US	PO	Professional Services	1114	North America		
1185255	12/8/23	 uiLLCit	US	PO	Professional Services	1116	North America		
1185255	12/8/23	 uiLLCit	US	PO	Professional Services	1120	North America		
1185255	12/8/23	 uiLLCit	US	PO	Professional Services	1160	North America		
1185255	12/8/23	 uiLLCit	US	PO	Professional Services	1200	North America		
1185255	12/8/23	 uiLLCit	US	PO	Professional Services	1210	North America		
1185255	12/8/23	 uiLLCit	US	PO	Professional Services	1220	North America		
1185255	12/8/23	 uiLLCit	US	PO	Professional Services	1230	North America		
1185254	12/7/23	AFAIANAL	PE	PO	Professional Services	4140	CALA		
1185253	12/7/23	sGlnc.lo	US	PO	Marketing & Creative	1200	North America		
1185253	12/7/23	A OENTOF	US	NPO	Contingent Workforce	1330	North America		21191
1185253	12/7/23	A OENTOF	US	NPO	Contingent Workforce	1332	North America	X	21191
1185252	12/7/23	im mbH G	DE	PO	Software	1116	North America		
1185252	12/7/23	im mbH G	DE	PO	Software	2150	EMEA		
1185252	12/7/23	aBiIncid	US	PO	Travel	1100	North America		
1185251	12/7/23	tonmbHnt	DE	PO	Contingent Workforce	2900	EMEA		
1185250	12/5/23	eamookmo	MY	PO	Events	3100	APAC		
1185250	12/5/23	lrateda 	AU	PO	Hardware	3000	APAC		
1185250	12/5/23	lrateda 	AU	PO	Hardware	3002	APAC		
1185249	12/5/23	kidtd.de	GB	PO	Software	2300	EMEA		
1185249	12/5/23	kidtd.de	GB	PO	Software	2800	EMEA		
1185249	12/5/23	kidtd.de	GB	PO	Software	6000	India		
1185249	12/5/23	n  LLP Y	SG	PO	Professional Services	2300	EMEA		
1185249	12/5/23	n  LLP Y	SG	PO	Professional Services	3160	APAC		
1185248	12/4/23	BOviveve	IN	PO	Facilities	6000	India		
